ano_mes;temp_media;temp_max;temp_min
2015-01;25.6;39;17.2
2015-02;24.8;35.1;17.5
2015-03;24.2;34.7;15.7
2015-04;21.2;32.4;13.4
2015-05;18.5;30.8;8.4
2015-06;16.2;29.7;4.7
2015-07;15.9;29.2;6.5
2015-08;21;34.2;9.5
2015-09;17.8;30;4.5
2015-10;19.4;35;9
2015-11;21.4;32.4;12.5
2015-12;24.2;35.6;14.5
2016-01;26.3;38.7;18.7
2016-02;26.2;36.4;17.2
2016-03;22.8;36.4;16.9
2016-04;22.5;36.9;6.3
2016-05;15.2;24.8;5.9
2016-06;12.3;23.1;1.6
2016-07;14.8;28.5;3.6
2016-08;17.8;33.7;5.3
2016-09;17.1;33.9;8.1
2016-10;20;35.2;9.1
2016-11;21.7;35.1;9.6
2016-12;25;37.9;14.7
2017-01;25.5;36.5;15.8
2017-02;26.1;36.9;16
2017-03;23.1;34.7;12.4
2017-04;20.4;32.7;7.9
2017-05;17.5;30.5;7.5
2017-06;16.6;27.9;4.1
2017-07;17.1;29.7;1.7
2017-08;18.1;35.2;5
2017-09;21.5;36.8;13.8
2017-10;20.9;33.4;8.7
2017-11;21.4;36.9;11.3
2017-12;25;37.5;14.6
2018-01;25.2;36.9;17.2
2018-02;24.5;35.6;14.9
2018-03;23.4;37.2;13.1
2018-04;23.5;35.3;16.3
2018-05;18.5;29.7;5.8
2018-06;14.1;30.5;2.1
2018-07;14.8;29.7;5.3
2018-08;14.9;30.3;4.2
2018-09;19.8;34.6;9.8
2018-10;20.7;34.7;10
2018-11;23.6;35.5;13.6
2018-12;24.6;39.1;12
2019-01;26.9;39.5;19.6
2019-02;25;38.4;15.6
2019-03;23.1;36.5;13.2
2019-04;21.9;34.7;14
2019-05;19.3;32.6;11.8
2019-06;18.9;31.2;4.1
2019-07;14.4;29.5;1.1
2019-08;16.2;33.8;2.1
2019-09;17.7;36.9;6.5
2019-10;21.1;39.7;11.2
2019-11;23.1;36.4;13.4
2019-12;26;40.6;14.4
2020-01;25.7;37.6;13.4
2020-02;25.5;37.8;14
2020-03;25.5;39.6;16
2020-04;20.8;33.9;9.3
2020-05;17.4;31.3;7.4
2020-06;17.3;31.6;5.3
2020-07;14.2;29.8;2.7
2020-08;17.1;34;2.1
2020-09;17.9;31.6;6.2
2020-10;20.7;35.7;9.7
2020-11;22.4;39.4;10.2
2020-12;24.8;39.6;15.3
2021-01;25.9;40.5;17.2
2021-02;24.5;35.7;16.4
2021-03;23.8;34.4;16.4
2021-04;21.7;36;9.3
2021-05;16;33.7;5.4
2021-06;14.8;31;5.9
2021-07;14.5;29.2;1.9